"","시도","시군","n"
"1","서울특별시","강남구",88
"2","서울특별시","중구",54
"3","경기도","성남시",51
"4","서울특별시","서초구",49
"5","경기도","고양시",44
"6","서울특별시","영등포구",41
"7","서울특별시","종로구",40
"8","경기도","수원시",39
"9","경기도","용인시",39
"10","서울특별시","마포구",36
"11","서울특별시","송파구",36
"12","경상남도","창원시",32
"13","부산광역시","해운대구",32
"14","경기도","화성시",31
"15","경기도","부천시",25
"16","서울특별시","강서구",25
"17","서울특별시","용산구",25
"18","대전광역시","서구",24
"19","서울특별시","서대문구",22
"20","대구광역시","수성구",21
"21","충청북도","청주시",21
"22","경기도","안양시",20
"23","전라북도","전주시",20
"24","충청남도","천안시",20
"25","대구광역시","달서구",19
"26","대전광역시","유성구",19
"27","부산광역시","부산진구",19
"28","서울특별시","광진구",18
"29","제주특별자치도","제주시",18
"30","경기도","남양주시",17
"31","경상남도","김해시",17
"32","서울특별시","강동구",17
"33","서울특별시","양천구",17
"34","경기도","김포시",16
"35","경기도","하남시",16
"36","광주광역시","광산구",16
"37","광주광역시","서구",16
"38","울산광역시","남구",16
"39","경기도","평택시",15
"40","서울특별시","성북구",15
"41","인천광역시","연수구",15
"42","경기도","의정부시",14
"43","경상북도","포항시",14
"44","서울특별시","구로구",14
"45","서울특별시","노원구",14
"46","서울특별시","성동구",14
"47","경기도","시흥시",13
"48","광주광역시","북구",13
"49","서울특별시","금천구",13
"50","서울특별시","은평구",13
"51","경상북도","구미시",12
"52","서울특별시","관악구",12
"53","인천광역시","남동구",12
"54","인천광역시","미추홀구",12
"55","경기도","광명시",11
"56","경기도","파주시",11
"57","대구광역시","동구",11
"58","서울특별시","동작구",11
"59","인천광역시","서구",11
"60","경기도","안산시",10
"61","경상북도","경산시",10
"62","광주광역시","남구",10
"63","대구광역시","북구",10
"64","대구광역시","중구",10
"65","서울특별시","동대문구",10
"66","제주특별자치도","서귀포시",10
"67","광주광역시","동구",9
"68","부산광역시","동래구",9
"69","부산광역시","연제구",9
"70","충청남도","아산시",9
"71","강원도","원주시",8
"72","강원도","춘천시",8
"73","경기도","양주시",8
"74","경기도","오산시",8
"75","경상남도","양산시",8
"76","경상남도","진주시",8
"77","경상북도","경주시",8
"78","부산광역시","금정구",8
"79","부산광역시","수영구",8
"80","서울특별시","중랑구",8
"81","인천광역시","부평구",8
"82","전라남도","여수시",8
"83","대전광역시","동구",7
"84","대전광역시","중구",7
"85","부산광역시","사상구",7
"86","부산광역시","사하구",7
"87","인천광역시","중구",7
"88","전라남도","목포시",7
"89","전라남도","순천시",7
"90","강원도","강릉시",6
"91","경기도","광주시",6
"92","경기도","구리시",6
"93","경기도","군포시",6
"94","부산광역시","기장군",6
"95","부산광역시","남구",6
"96","부산광역시","중구",6
"97","서울특별시","강북구",6
"98","울산광역시","동구",6
"99","울산광역시","북구",6
"100","인천광역시","계양구",6
"101","전라북도","군산시",6
"102","경기도","안성시",5
"103","경기도","의왕시",5
"104","경상남도","거제시",5
"105","경상북도","안동시",5
"106","대전광역시","대덕구",5
"107","부산광역시","강서구",5
"108","부산광역시","북구",5
"109","서울특별시","도봉구",5
"110","세종특별자치시","",5
"111","울산광역시","중구",5
"112","충청북도","충주시",5
"113","강원도","속초시",4
"114","경기도","여주시",4
"115","경기도","이천시",4
"116","대구광역시","남구",4
"117","부산광역시","동구",4
"118","부산광역시","서구",4
"119","전라북도","익산시",4
"120","경기도","과천시",3
"121","경기도","동두천시",3
"122","경기도","포천시",3
"123","전라남도","광양시",3
"124","충청남도","공주시",3
"125","강원도","동해시",2
"126","강원도","홍천군",2
"127","경기도","가평군",2
"128","경기도","양평군",2
"129","경상남도","사천시",2
"130","경상북도","김천시",2
"131","대구광역시","달성군",2
"132","부산광역시","영도구",2
"133","울산광역시","울주군",2
"134","전라남도","나주시",2
"135","전라남도","무안군",2
"136","충청남도","논산시",2
"137","충청남도","당진시",2
"138","충청남도","보령시",2
"139","충청남도","서산시",2
"140","충청남도","홍성군",2
"141","강원도","고성군",1
"142","경상남도","밀양시",1
"143","경상남도","통영시",1
"144","경상북도","문경시",1
"145","경상북도","상주시",1
"146","경상북도","영천시",1
"147","경상북도","예천군",1
"148","대구광역시","서구",1
"149","세종특별자치시","금송로",1
"150","세종특별자치시","노을3로",1
"151","세종특별자치시","다정북로",1
"152","세종특별자치시","보듬7로",1
"153","세종특별자치시","소담3로",1
"154","세종특별자치시","아름서1길",1
"155","세종특별자치시","한누리대로",1
"156","인천광역시","강화군",1
"157","인천광역시","동구",1
"158","전라남도","화순군",1
"159","전라북도","김제시",1
"160","전라북도","남원시",1
"161","전라북도","정읍시",1
"162","충청남도","계룡시",1
"163","충청북도","음성군",1
"164","충청북도","제천시",1
"165","충청북도","증평군",1
"166","충청북도","진천군",1
"167","칠곡중앙대로","631",1
